date,open,high,low,close,volume
2025-09-24,97.75,97.75,97.5,97.5,134600
2025-09-25,97.49,97.49,96.88,96.92,533100
2025-09-26,97.05,97.29,96.96,97.0,306800
2025-09-29,97.31,97.345,96.95,97.05,277000
2025-09-30,97.2,97.46,97.04,97.06,423100
2025-10-01,97.88,98.25,97.4,97.98,620600
2025-10-02,99.13,100.0,98.58,98.97,989600
2025-10-03,99.25,99.4,98.65,99.0,763300
2025-10-06,99.37,99.6,99.033,99.15,856700
2025-10-07,99.3,99.4,98.55,98.7,609900
2025-10-08,99.0,99.03,98.58,98.9,417300
2025-10-09,99.2,99.279,98.66,98.75,504600
2025-10-10,99.05,99.19,98.63,98.63,1054300
2025-10-13,99.14,99.19,98.901,99.03,682400
2025-10-14,99.04,99.05,98.78,98.8,901100
2025-10-15,98.35,98.587,98.2,98.38,567600
2025-10-16,98.57,98.65,97.08,97.3,813000
2025-10-17,97.3,98.05,96.75,97.4,954700
2025-10-20,98.5,98.8,98.2,98.62,600700
2025-10-21,98.65,98.759,98.43,98.625,373600
2025-10-22,98.65,98.7,97.9,98.12,560300
2025-10-23,98.53,98.67,98.15,98.67,481500
2025-10-24,98.85,98.897,98.61,98.71,534400
2025-10-27,98.93,98.93,98.31,98.5,706100
2025-10-28,98.79,98.84,98.495,98.6,591000
2025-10-29,98.81,98.9,98.6,98.72,886600
2025-10-30,98.98,99.02,98.77,98.89,994500
2025-10-31,99.64,99.64,99.14,99.38,1449500
2025-11-03,99.77,99.85,99.49,99.61,1233000
2025-11-04,99.7,100.14,99.55,99.74,1518000
2025-11-05,100.19,100.19,99.88,100.01,1016000
2025-11-06,100.18,100.2,99.855,99.89,1218800
2025-11-07,100.04,100.05,99.16,99.18,1508000
2025-11-10,99.84,100.03,99.7,99.96,1214900
2025-11-11,100.07,100.07,99.94,100.0,766500
2025-11-12,100.02,100.1,99.95,100.01,1776400
2025-11-13,100.03,100.066,97.82,98.625,2691900
2025-11-14,98.0,99.41,97.08,97.76,1976800
2025-11-17,98.18,98.4,92.472,94.58,2884000
2025-11-18,94.87,97.1,94.315,96.39,1395600
2025-11-19,96.78,96.9,91.13,94.59,2099100
2025-11-20,95.99,96.5,90.68,92.79,1835700
2025-11-21,90.64,95.89,90.52,95.38,2306300
2025-11-24,95.66,97.59,95.4,96.38,1098600
2025-11-25,96.39,97.24,95.7,96.29,558400
2025-11-26,97.19,97.57,96.69,97.17,545700
2025-11-28,97.84,97.91,96.6,96.66,523500
2025-12-01,96.15,96.94,95.57,96.41,988500
2025-12-02,97.28,98.0,97.25,97.8,773400
2025-12-03,98.5,98.7,98.1,98.2,597100
2025-12-04,98.6,98.71,97.87,98.2,518800
2025-12-05,98.25,98.25,97.696,98.19,561500
2025-12-08,98.58,98.79,98.46,98.53,550000
2025-12-09,98.73,99.09,98.65,99.09,507900
2025-12-10,99.46,99.46,98.93,98.98,685700
2025-12-11,99.0,99.4,98.97,99.07,608000
2025-12-12,99.28,99.3,98.93,99.06,828800
2025-12-15,98.75,98.83,97.1,97.7,821400
2025-12-16,98.0,98.17,97.66,97.84,389400
2025-12-17,98.18,98.2,97.24,97.33,536100
2025-12-18,98.09,98.304,97.66,97.9,326100
2025-12-19,98.2,98.74,98.058,98.74,421000
2025-12-22,98.82,99.005,98.63,98.94,458000
2025-12-23,98.96,99.03,98.65,99.0,495300
2025-12-24,99.0,99.03,98.9,98.96,200700
2025-12-26,99.0,99.15,98.68,99.15,384700
2025-12-29,99.0,99.1,98.61,98.79,527300
2025-12-30,99.0,99.18,98.86,98.98,334800
2025-12-31,99.18,99.18,98.65,98.795,580300
2026-01-02,99.16,99.68,98.84,99.67,829700
2026-01-05,99.85,99.97,99.7,99.93,859400
2026-01-06,99.95,99.99,99.86,99.97,516300
2026-01-07,100.02,100.07,99.99,99.99,771400
2026-01-08,99.99,100.09,99.98,100.03,811100
2026-01-09,100.11,100.15,100.0,100.03,1169100
2026-01-12,100.01,100.12,100.0,100.07,1765300
2026-01-13,100.31,100.418,100.0,100.02,1753700
2026-01-14,100.18,100.19,100.0,100.05,1970100
2026-01-15,99.55,99.99,99.43,99.99,1179300
2026-01-16,99.99,100.04,99.88,100.01,925800
2026-01-20,99.9,100.04,99.08,99.12,1696900
2026-01-21,99.8,99.99,99.5,99.55,1391200
2026-01-22,99.84,99.85,99.5,99.71,943800
2026-01-23,99.83,99.94,99.25,99.5,1178300
2026-01-26,99.64,99.69,98.735,99.05,1276800
2026-01-27,99.3,99.385,99.0,99.16,1067800
2026-01-28,99.43,99.5,98.848,98.99,1092400
2026-01-29,99.0,99.09,97.95,98.19,1929900
2026-01-30,98.38,99.43,98.25,98.99,1242000
2026-02-02,98.35,99.43,98.3,99.05,1375600
2026-02-03,99.17,99.34,97.85,98.455,1510400
2026-02-04,98.62,98.7,97.0,97.99,1728400
2026-02-05,96.59,96.87,93.1,93.67,3369100
2026-02-06,97.38,98.93,96.252,98.76,1916300
2026-02-09,98.9,99.72,98.34,99.72,1052000
2026-02-10,99.5,99.9,99.46,99.67,924100
2026-02-11,99.77,100.04,99.4,100.0,930400
2026-02-12,100.01,100.09,99.95,100.03,1993900
2026-02-13,99.54,99.9,99.42,99.8,1037100
2026-02-17,99.73,99.77,99.271,99.33,1104000
2026-02-18,99.44,99.63,99.32,99.5,634900
2026-02-19,99.4,99.7,99.2,99.66,418900
2026-02-20,99.54,99.85,99.54,99.82,457700
2026-02-23,99.62,99.88,99.55,99.84,774900
2026-02-24,99.71,99.94,99.65,99.91,635500
2026-02-25,99.97,100.0,99.85,99.96,1248300
2026-02-26,99.99,100.0,99.82,100.0,795400
2026-02-27,99.95,100.05,99.61,100.0,898600
2026-03-02,100.0,100.1,99.97,100.0,1430700
2026-03-03,99.96,100.07,99.95,100.01,2007200
2026-03-04,100.14,100.17,100.03,100.05,1506800
2026-03-05,100.1,100.12,100.0,100.01,1333700
2026-03-06,100.01,100.06,100.0,100.02,2667200
2026-03-09,100.01,100.08,100.0,100.06,3156800
2026-03-10,100.02,100.08,100.0,100.02,4394200
2026-03-11,100.01,100.18,100.01,100.03,4617800
2026-03-12,100.03,100.07,99.95,100.01,7468600
2026-03-13,99.68,99.8,99.5,99.75,3027100
2026-03-16,99.85,99.9,99.69,99.83,2493600
2026-03-17,99.89,99.89,99.85,99.875,1545500
